suspect_age,suspect_gender,suspected_offense_type,intoxication_level,mental_confusion_level,suspect_aggression_level,suspect_compliance,officer_tone,officer_deescalation_attempts,bystanders_present,environment_risk_level,time_of_day,number_of_officers,force_used_level,interaction_duration_minutes,interaction_score
36,male,public_intoxication,2,0,3,0,1,2,1,1,evening,2,2,23,46.9
19,male,traffic_violation,1,0,0,2,0,1,0,2,late_night,2,0,10,90.2
46,female,mental health crisis,1,2,0,0,1,5,0,2,night,3,0,33,61.0
23,male,suspicious_person,1,1,2,2,2,4,1,3,night,3,1,16,64.2
80,female,domestic_disturbance,0,1,2,0,3,4,1,2,evening,3,2,18,53.5
18,male,DUI,1,0,1,1,1,1,1,1,day,2,1,24,64.6
35,male,suspicious_person,0,2,1,1,0,4,1,1,late_night,3,0,28,80.5
18,unknown,DUI,2,0,1,1,1,4,1,2,evening,3,0,21,88.1
19,male,DUI,2,3,0,3,0,6,0,2,evening,3,0,40,100.0
24,male,traffic_violation,0,1,0,0,1,4,0,2,night,2,0,14,73.9
30,female,traffic_violation,0,2,4,2,1,2,0,1,night,1,0,18,96.5
18,female,violent_crime,0,3,4,0,2,2,0,3,night,5,3,21,16.1
26,male,DUI,3,2,2,0,2,3,0,1,evening,2,2,22,45.6
16,male,mental_health_crisis,0,3,1,0,1,7,0,1,night,2,0,35,81.2
20,female,DUI,3,2,3,0,2,3,0,1,evening,2,0,34,37.0
20,female,,2,1,3,0,2,3,1,2,late_night,3,1,21,31.8
55,male,traffic_violation,1,1,1,1,2,3,1,1,day,2,0,22,63.1
21,unknown,domestic_disturbance,1,1,2,0,2,3,0,3,night,4,1,18,56.8
24,female,DUI,3,1,0,0,1,3,0,2,late_night,3,1,27,66.5
25,female,DUI,3,2,3,1,1,4,0,0,,2,1,36,46.9
42,female,traffic_violation,0,0,1,1,1,2,1,0,day,1,1,10,71.9
44,female,suspicious_person,1,1,2,2,2,4,1,2,night,0,1,24,66.2
35,female,mental_health_crisis,1,2,1,1,2,5,0,1,day,3,0,24,95.3
NA,female,violent_crime,1,0,3,0,2,1,1,3,late_night,4,3,8,41.6
19,female,DUI,3,3,1,1,1,7,0,0,day,2,0,36,78.0
26,male,DUI,2,1,2,3,2,6,0,1,day,3,0,36,92.5
40,male,NA,1,2,1,2,2,2,1,1,evening,2,0,21,64.7
25,female,DUI,3,1,2,1,1,2,0,1,late_night,2,0,38,59.8
31,male,public_intoxication,2,2,2,1,2,3,1,3,night,4,1,21,34.7
16, unknown ,warrant,1,0,2,0,2,0,0,2,late_night,3,2,16,46.0
25,male,warrant,0,0,2,0,2,1,0,1,DAY,1,2,11,58.4
24,male,other,0,2,1,0,2,4,0,1,late_night,1,0,20,89.3
26,female,other,1,1,1,2,2,3,0,1,day,2,0,17,82.6
40,male,traffic_violation,0,0,3,1,2,2,1,2,late_night,2,1,12,57.4
33,male,other,0,1,0,3,2,2,0,1,late_night,1,0,17,95.1
32,male,traffic_violation,0,1,1,0,2,0,0,0,evening,2,0,15,74.3
43,female,other,0,0,1,1,2,4,0,2,day,3,1,17,67.9
29,male,public_intoxication,3,1,2,0,2,1,0,2,late_night,3,1,22,19.5
45,female,retail_theft,1,1,3,2,1,2,0,2,night,4,1,24,45.9
28,male,theft,0,1,1,0,1,2,0,1,evening,2,1,17,89.8
22,male,shoplifting,0,0,2,1,1,1,1,2,evening,4,1,22,57.9
38,male,other,0,0,1,2,1,3,0,1,evening,2,0,22,98.4
33,male,suspicious_person,1,2,3,0,1,4,0,1,evening,2,1,19,65.2
24,female,traffic_violation,2,0,2,2,1,1,0,1,evening,1,0,8,80.0
41,male,traffic_violation ,0,0,1,3,2,3,0,0,evening,1,0,20,100.0
16,unknown,theft,0,0,1,1,1,4,1,0,evening,2,1,34,84.4
50,male,mental_health_crisis,2,3,1,0,1,5,0,1,night,4,2,33,52.1
unknown,male,other,1,0,0,1,1,1,0,1,night,1,0,21,85.0
22,female,mental_health_crisis,0,3,3,0,0,4,0,1,day,4,2,39,51.6
39,male,traffic_violation,0,1,0,1,1,2,0,0,night,1,0,9,91.5
16,male,domestic_disturbance,2,1,2,0,2,2,1,2,day,3,2,18,35.9
16,male,violent_crime,2,0,4,0,3,2,0,2,day,3,3,7,42.4
26,M,other,0,0,1,0,2,1,0,0,day,3,1,10,68.6
19,female,traffic_violation,0,0,2,2,1,3,1,2,late_night,2,0,5,73.6
20,female,traffic_violation,0,2,1,1,1,4,0,2,night,2,1,19,92.0
30,male,warrant,0,0,1,2,2,3,0,1,LateNight,2,0,20,98.5
37,female,suspicious_person,0,0,0,1,1,3,1,2,Evening,2,0,17,92.9
29,male,behavioral_health_crisis,1,3,1,0,0,4,0,1,night,2,2,34,50.4
28,male,violent_crime,1,1,3,0,3,2,0,2,day,6,4,6,32.1
38,male,violent_crime,1,1,4,0,3,2,0,3,day,5,3,24,27.5
35,male,traffic_violation,0,0,1,1,1,2,0,1,day,2,1,12,84.2
26,male,traffic_violation,0,0,2,0,2,1,0,2,evening,3,1,20,60.2
16,female,theft,1,0,1,2,1,3,1,2,evening,2,0,14,74.7
34,,warrant,0,0,3,1,2,2,1,0,evening,2,1,12,62.7
40,female,theft,0,1,1,1,1,2,1,1,evening,1,1,16,60.0
45,male,theft,0,2,1,1,1,3,0,2,night,2,1,19,67.8
31,male,DUI,2,1,2,2,2,4,0,1,evening,1,0,41,78.4
39,unknown,shoplifting,1,1,1,1,2,4,1,1,day,2,0,27,64.7
21,male,theft,0,0,1,1,1,3,1,1,evening,2,1,5,66.6
17,male,public_intoxication,2,2,2,0,1,4,1,1,DAY,3,1,23,50.7
36,male,suspicious_person,1,1,3,0,2,1,0,2,late_night,2,1,13,40.8
19,male,traffic_violation,1,0,1,0,1,1,1,2,NIGHT,2,1,20,53.2
unknown,female,warrant,0,0,0,1,1,2,0,1,day,2,0,10,87.9
36,male,domestic_disturbance,1,2,2,0,2,4,0,3,night,4,2,30,54.7
35,male,DUI,1,1,1,2,1,3,0,0,day,3,0,41,86.6
42,male,traffic_violation,0,0,1,2,2,1,0,0,evening,1,0,1,85.3
24,male,DUI,2,2,0,0,1,3,0,1,late_night,3,1,34,55.4
41,female,DUI,2,0,1,1,2,4,0,1,late_night,2,1,22,51.4
44,male,mental_health_crisis,1,2,2,0,2,7,0,3,day,4,2,34,47.8
38,male,traffic_violation,0,0,1,3,1,0,0,0,night,2,0,8,100.0
21,male,mental_health_crisis,0,2,2,0,1,6,0,1,night,4,2,39,47.6
26,male,domestic_disturbance,0,1,2,1,1,3,0,2,night,3,2,20,62.2
unknown,female,mental_health_crisis,1,2,2,0,1,5,0,3,late_night,4,1,33,63.4
28,male,mental_health_crisis,0,2,1,0,2,5,1,1,evening,3,1,25,66.4
26,male,DUI,1,0,1,1,1,5,0,1,late_night,1,0,24,86.6
31,male,mental_health_crisis,0,3,2,0,0,6,0,1,late_night,3,2,33,55.3
44,male,mental_health_crisis,2,3,0,1,1,4,0,1,evening,4,0,44,91.6
18,male,traffic_violation,0,0,0,3,1,2,0,1,night,2,0,18,100.0
32,male,public intox,2,0,1,0,2,3,1,0,evening,2,0,31,67.8
33,male,warrant,1,0,1,3,2,2,1,2,day,3,1,21,80.3
37,male,suspicious_person,1,1,3,1,1,2,0,0,evening,1,1,18,65.6
37,male,warrant,0,0,2,0,2,1,0,1,night,1,1,14,72.9
24,male,DUI,2,0,1,3,1,5,0,1,evening,2,0,32,100.0
27, male ,mental_health_crisis,1,3,2,1,1,3,0,2,evening,4,1,36,42.1
37,male,theft,0,1,1,2,1,0,1,0,late_night,1,0,25,92.4
47,female,DUI,3,1,2,0,1,5,0,1,evening,2,0,27,58.0
16,male,theft,0,0,2,1,1,1,1,2,evening,3,1,17,76.3
16,female,violent crime,0,1,3,1,3,1,1,3,late_night,5,3,14,34.6
40,male,NA,1,0,0,3,0,1,0,2,night,3,0,19,98.4
28,female,domestic_disturbance,1,1,3,0,3,0,0,2,day,3,2,14,24.8
42,female,other,0,1,1,1,2,4,1,1,day,2,0,28,69.4
25,unknown,mental_health_crisis,0,3,1,0,2,5,0,1,late_night,4,1,42,44.2
